month,gains,losses,quick_ratio
2023-01,4684.0,0.0,999.0
2023-02,11079.0,0.0,999.0
2023-03,26081.0,0.0,999.0
2023-04,43042.0,2376.0,18.115319865319865
2023-05,85919.0,4822.0,17.818125259228538
2023-06,74987.0,5446.0,13.769188395152405
2023-07,132344.0,9932.0,13.325010068465566
2023-08,169044.0,9820.0,17.214256619144603
2023-09,123747.0,1104.0,112.08967391304348
2023-10,185507.0,0.0,999.0
2023-11,250884.0,14158.0,17.720299477327305
2023-12,292675.0,48926.0,5.981993214241917
2024-01,308578.0,72958.0,4.229529318237891
2024-02,406666.0,68101.0,5.971512899957416
2024-03,455752.0,48009.0,9.493053385823492
2024-04,469977.0,96208.0,4.885009562614336
2024-05,680864.0,86011.0,7.916010742811966
2024-06,566151.0,91643.0,6.177787719738551
2024-07,791820.0,207707.0,3.812196989027813
2024-08,687674.0,233932.0,2.9396320298206318
2024-09,1036838.0,418196.0,2.4793111364049394
2024-10,1248468.0,470167.0,2.6553713893148605
2024-11,1612773.0,648658.0,2.4863225305168517
2024-12,2483351.0,811814.0,3.059014749684041
2025-01,0.0,2349904.0,0.0
